year,month,date,company,track,volume_desc,volume,round
2016,Mar,Mar 2016,国卫信安学院,Vocational Edu.,20,20,Seed/Angel
2016,Mar,Mar 2016,未来王国,Early Childhood Edu.,20,20,Seed/Angel
2015,Mar,Mar 2015,罗辑思维,Others,0,0,B
2016,Dec,Dec 2016,联创中控,Higher Edu.,0,0,PE
2018,May,May 2018,亨嘉之会,Holistic Edu.,0,0,Seed/Angel
2018,Feb,Feb 2018,旭德教育,K12,0,0,Private Placement of Share
2017,Mar,Mar 2017,今星秀,Holistic Edu.,0,0,Seed/Angel
2018,Apr,Apr 2018,魔术先生,Vocational Edu.,0,0,A
2018,Jun,Jun 2018,51选校网,K12,0,0,Undiscloused
2018,May,May 2018,求渔学院,Others,0,0,Pre-A
2018,Jun,Jun 2018,联帮在线,Language Learning,0,0,B
2018,Jun,Jun 2018,学霸公社,Study Abroad Services,0,0,B+
2017,Jan,Jan 2017,小马学院,Holistic Edu.,0,0,Undiscloused
2018,May,May 2018,七天教育,K12,0,0,B
2018,May,May 2018,慧科集团,Higher Edu.,0,0,D
2018,May,May 2018,黄埔区块链培训学院,Vocational Edu.,0,0,Seed/Angel
2015,Mar,Mar 2015,榜样（趣寻网）,K12,0,0,A
2018,May,May 2018,Biendata,Vocational Edu.,0,0,Seed/Angel
2014,Sep,Sep 2014,环讯教育,Language Learning,0,0,Undiscloused
2018,Feb,Feb 2018,风向标教育,K12,0,0,B
2018,Feb,Feb 2018,100课堂,Language Learning,0,0,Seed/Angel
2016,Dec,Dec 2016,贝梦宝智育,Early Childhood Edu.,0,0,A
2018,Feb,Feb 2018,高木学习,K12,0,0,A
2018,Jan,Jan 2018,煜林教育,Holistic Edu.,0,0,A
2018,Apr,Apr 2018,小猴科技,Edu. SaaS,0,0,Seed/Angel
2018,Apr,Apr 2018,趣口才,Holistic Edu.,0,0,Seed/Angel
2018,Apr,Apr 2018,有道翻译,Language Learning,0,0,Strategic Investment
2018,Mar,Mar 2018,孩盟国际儿童公馆,Early Childhood Edu.,0,0,A
2015,Jul,Jul 2015,91外教,Language Learning,0,0,Seed/Angel
2018,Apr,Apr 2018,快乐世界教育,Early Childhood Edu.,0,0,A
